This is the progress list of Cosmos | Updated on: 2019-04-28


ARTIFICIAL INTELLIGENCE                                                        Ada                           BrainFuck                                   C                                 C++                             Clojure                               Crisp                              Elixir                                 Elm                              Erlang                             Fortran                              Golang                                HTML                             Haskell                                Java                          JavaScript                               Julia                    Jupyter Notebook                              Kotlin                                 Lua                                  ML                                 Nim                         Objective-C                                 PHP                                Perl  Processing Development Environment                          PureScript                              Python                              Racket                              Reason                                Ruby                                Rust                               Scala                        Shell Script                         Standard ML                               Swift                          TypeScript                        Visual Basic                           Visual C#                           Visual F#  
array manipulation                                                               .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
bigger is greater                                                                .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
complement dna strand                                                            .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
encryption                                                                       .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 001                                                                      .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 002                                                                      .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 003                                                                      .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 004                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 005                                                                      .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 006                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 007                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 008                                                                      .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 009                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 010                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 012                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 013                                                                      .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 014                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 016                                                                      .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 018                                                                      .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 019                                                                      .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 020                                                                      .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 021                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 022                                                                      .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 024                                                                      .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 025                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 026                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 028                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 034                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 036                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 037                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
problem 040                                                                      .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
